id;name;total_amount;ordered;buyer_id
1;Handcrafted Granite Computer;14919;2020-05-13T15:04:15;2
2;Cotton deposit;66451;2020-05-14T13:10:09;2
3;program expedite;90773;2020-05-14T13:28:07;1
4;Burundi Franc Buckinghamshire;22;2020-05-13T23:34:49;2
5;JBOD standardization Djibouti Franc;42074;2020-05-14T06:04:24;1
6;Small customer loyalty Missouri;11113;2020-05-14T09:53:41;1
7;executive;46312;2020-05-13T19:07:40;1
8;Practical Concrete Tuna Sharable;46971;2020-05-13T15:28:03;2
9;plum;45871;2020-05-13T20:32:20;2
10;supply-chains;67394;2020-05-13T23:02:35;2
